Larval_ID,Sex,Family,Full_Treatment,Photo_Treatment,Diet_Treatment,5th_Day,Photo_Day,Blocking_Day,Devo_Time,Eclosion_Date,Devo_Time2,Gray_Value_R,Gray_Value_G,Gray_Value_B,Avg_Gray,Avg_Gray_2,Darkness,Percent_R,Percent_G,Percent_B,Avg_Percent,Avg_Percent_Melanin,Total_Melanin_Metric,Notes
T245,F,25,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,6/4/23,7,6/28/23,24,13.216,13.114,14.697,13.676,13.165,15.835,20.738,21.106,29.767,23.870,20.922,377.987,pupa short wings
T246,F,25,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,6/5/23,8,6/28/23,23,15.853,15.583,18.732,16.723,15.718,13.282,5.555,5.705,10.862,7.374,5.630,97.941,pupa short wings
T247,F,24,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,6/4/23,7,,,14.610,14.475,16.612,15.232,14.543,14.458,8.965,9.114,14.028,10.702,9.040,154.729,"pupa severe deform, died as pupa"
T248,,33,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,15.372,15.043,17.097,15.837,15.208,13.793,13.357,13.336,20.454,15.716,13.347,216.758,
T249,,34,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,13.248,12.522,16.959,14.243,12.885,16.115,16.536,16.711,35.305,22.851,16.624,368.238,
T250,,24,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,15.267,14.739,18.746,16.251,15.003,13.997,7.427,7.490,15.668,10.195,7.459,142.699,
T251,,24,LongPhotoHighTyr,Long,High,5/28/23,5/31/23,,,,,15.647,15.130,16.833,15.870,15.389,13.612,9.627,9.802,15.149,11.526,9.715,156.886,
T252,,24,LongPhotoHighTyr,Long,High,5/30/23,6/2/23,,,,,16.693,15.712,19.945,17.450,16.203,12.798,6.925,6.782,1.951,5.219,6.854,66.794,
T253,,24,LongPhotoHighTyr,Long,High,5/30/23,6/2/23,,,,,14.403,13.572,17.191,15.055,13.988,15.013,12.160,11.740,21.460,15.120,11.950,226.989,
T254,,33,LongPhotoHighTyr,Long,High,5/30/23,6/1/23,,,,,15.273,14.266,18.432,15.990,14.770,14.231,14.261,13.443,28.427,18.710,13.852,266.257,used photo b
